,acc1,acc2,acc3,acc4,acc5,mean_acc
DodgerLoopWeekend_window_warp,0.9565217391304348,0.9565217391304348,0.9637681159420289,0.9782608695652174,0.9710144927536232,0.9652173913043478
DodgerLoopWeekend_time_warp,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9637681159420289,0.9637681159420289,0.972463768115942
DodgerLoopWeekend_rotation,0.9710144927536232,0.9710144927536232,0.9710144927536232,0.9710144927536232,0.9782608695652174,0.972463768115942
DodgerLoopWeekend_magnitude_warp,0.9710144927536232,0.9710144927536232,0.9710144927536232,0.9782608695652174,0.9710144927536232,0.972463768115942
DodgerLoopWeekend_spawner,0.9782608695652174,0.9710144927536232,0.9710144927536232,0.9855072463768116,0.9710144927536232,0.9753623188405797
DodgerLoopWeekend_wdba,0.9420289855072463,0.9420289855072463,0.9202898550724637,0.9420289855072463,0.9710144927536232,0.9434782608695652
DodgerLoopDay_jitter,0.6125,0.575,0.5,0.525,0.55,0.5525
DodgerLoopDay_scaling,0.5625,0.5125,0.5625,0.5625,0.5875,0.5575
DodgerLoopDay_window_slice,0.35,0.4,0.325,0.325,0.4125,0.3625
DodgerLoopDay_window_warp,0.575,0.5625,0.4,0.525,0.4375,0.5
DodgerLoopDay_time_warp,0.3,0.4,0.375,0.3125,0.3625,0.35
DodgerLoopDay_rotation,0.525,0.5125,0.5125,0.5,0.525,0.5149999999999999
DodgerLoopDay_magnitude_warp,0.5875,0.5,0.4625,0.4625,0.4125,0.485
DodgerLoopDay_spawner,0.4875,0.525,0.5125,0.5125,0.425,0.4924999999999999
DodgerLoopDay_wdba,0.325,0.2875,0.35,0.3125,0.3125,0.3175
PickupGestureWiimoteZ_jitter,0.9,0.94,0.84,0.94,0.84,0.892
PickupGestureWiimoteZ_scaling,0.9,0.9,0.9,0.9,0.8,0.8800000000000001
PickupGestureWiimoteZ_window_slice,0.68,0.7,0.76,0.74,0.76,0.728
PickupGestureWiimoteZ_window_warp,0.78,0.82,0.82,0.82,0.82,0.8119999999999999
PickupGestureWiimoteZ_time_warp,0.76,0.74,0.7,0.78,0.72,0.74
PickupGestureWiimoteZ_rotation,0.74,0.74,0.72,0.72,0.72,0.728
PickupGestureWiimoteZ_magnitude_warp,0.86,0.84,0.88,0.86,0.86,0.86
PickupGestureWiimoteZ_spawner,0.8,0.72,0.82,0.76,0.8,0.7799999999999999
PickupGestureWiimoteZ_wdba,0.64,0.6,0.66,0.64,0.52,0.612
ShakeGestureWiimoteZ_jitter,0.96,0.94,1.0,0.96,0.96,0.9640000000000001
ShakeGestureWiimoteZ_scaling,0.92,0.92,0.9,0.9,0.94,0.916
ShakeGestureWiimoteZ_window_slice,0.92,0.92,0.9,0.94,0.92,0.9200000000000002
ShakeGestureWiimoteZ_window_warp,0.96,0.94,0.96,0.98,0.92,0.952
ShakeGestureWiimoteZ_time_warp,0.92,0.9,0.88,0.88,0.9,0.8960000000000001
ShakeGestureWiimoteZ_rotation,0.86,0.86,0.86,0.82,0.9,0.86
ShakeGestureWiimoteZ_magnitude_warp,0.92,0.94,0.94,0.92,0.94,0.932
ShakeGestureWiimoteZ_spawner,0.86,0.9,0.88,0.88,0.9,0.884
ShakeGestureWiimoteZ_wdba,0.82,0.82,0.86,0.86,0.86,0.844
ECG200_jitter,0.91,0.91,0.91,0.91,0.9,0.908
ECG200_scaling,0.9,0.92,0.9,0.91,0.9,0.906
ECG200_window_slice,0.92,0.9,0.88,0.9,0.89,0.898
ECG200_window_warp,0.84,0.89,0.85,0.86,0.88,0.8640000000000001
ECG200_time_warp,0.83,0.8,0.81,0.82,0.78,0.808
ECG200_rotation,0.86,0.85,0.85,0.82,0.83,0.842
ECG200_magnitude_warp,0.85,0.86,0.89,0.86,0.85,0.8619999999999999
ECG200_spawner,0.75,0.76,0.75,0.78,0.78,0.764
ECG200_wdba,0.8,0.78,0.78,0.79,0.79,0.788
BirdChicken_jitter,0.9,1.0,1.0,0.9,0.9,0.9400000000000001
BirdChicken_scaling,0.8,0.9,0.8,0.8,0.9,0.8400000000000001
BirdChicken_window_slice,0.8,0.85,0.85,0.9,0.8,0.8400000000000001
BirdChicken_window_warp,0.9,0.9,0.85,0.9,0.9,0.89
BirdChicken_time_warp,0.55,0.75,0.65,0.65,0.65,0.65
BirdChicken_rotation,0.75,0.8,0.85,0.8,0.85,0.8099999999999999
BirdChicken_magnitude_warp,1.0,0.85,1.0,1.0,1.0,0.97
BirdChicken_spawner,0.8,0.8,0.85,0.9,0.9,0.85
BirdChicken_wdba,0.85,0.85,0.8,0.8,0.75,0.8099999999999999
ItalyPowerDemand_jitter,0.9533527696793003,0.9504373177842566,0.9446064139941691,0.9543245869776482,0.9504373177842566,0.950631681243926
ItalyPowerDemand_scaling,0.9523809523809523,0.9475218658892128,0.9436345966958212,0.9533527696793003,0.9416909620991254,0.9477162293488824
ItalyPowerDemand_window_slice,0.9582118561710399,0.9591836734693877,0.956268221574344,0.9591836734693877,0.9611273080660836,0.9587949465500486
ItalyPowerDemand_window_warp,0.9426627793974732,0.9504373177842566,0.9436345966958212,0.9484936831875608,0.9446064139941691,0.9459669582118562
ItalyPowerDemand_time_warp,0.8056365403304179,0.8386783284742468,0.8756073858114675,0.8134110787172012,0.8454810495626822,0.8357628765792031
ItalyPowerDemand_rotation,0.9329446064139941,0.9076773566569485,0.93488824101069,0.9203109815354713,0.9164237123420796,0.9224489795918368
ItalyPowerDemand_magnitude_warp,0.9397473275024295,0.9407191448007775,0.9378036929057337,0.9446064139941691,0.9426627793974732,0.9411078717201166
ItalyPowerDemand_spawner,0.8250728862973761,0.8075801749271136,0.827016520894072,0.8202137998056366,0.8668610301263362,0.8293488824101068
ItalyPowerDemand_wdba,0.9125364431486881,0.9067055393586005,0.9203109815354713,0.9037900874635568,0.9251700680272109,0.9137026239067054
