acc1,acc2,acc3,acc4,acc5,mean_acc
0.3333333333333333,0.7333333333333333,0.6333333333333333,0.3333333333333333,0.3,0.4666666666666666
0.13333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.1733333333333333
0.4666666666666667,0.6,0.6,0.5333333333333333,0.6666666666666666,0.5733333333333333
0.43333333333333335,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.48666666666666664
0.3,0.3,0.4,0.3,0.3,0.32
0.8333333333333334,0.7666666666666667,0.6333333333333333,0.7666666666666667,0.7,0.74
0.7333333333333333,0.8333333333333334,0.4666666666666667,0.36666666666666664,0.7666666666666667,0.6333333333333333
0.8666666666666667,0.7333333333333333,0.8333333333333334,0.8,0.7666666666666667,0.8
0.5333333333333333,0.43333333333333335,0.4,0.5,0.5333333333333333,0.48
0.6333333333333333,0.7333333333333333,0.7666666666666667,0.7333333333333333,0.6333333333333333,0.7
0.43333333333333335,0.36666666666666664,0.4,0.36666666666666664,0.3333333333333333,0.38
0.7666666666666667,0.8,0.8,0.7,0.7666666666666667,0.7666666666666668
0.6666666666666666,0.6666666666666666,0.6333333333333333,0.6,0.6,0.6333333333333333
0.6,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.6333333333333333,0.5866666666666667
0.3,0.3333333333333333,0.3,0.26666666666666666,0.3333333333333333,0.30666666666666664
0.7945205479452054,0.8493150684931506,0.7945205479452054,0.7945205479452054,0.8082191780821918,0.8082191780821917
0.8082191780821918,0.8082191780821918,0.7945205479452054,0.8356164383561644,0.8082191780821918,0.810958904109589
0.6986301369863014,0.726027397260274,0.7123287671232876,0.7397260273972602,0.7534246575342466,0.7260273972602739
0.7534246575342466,0.7671232876712328,0.7808219178082192,0.7808219178082192,0.7945205479452054,0.7753424657534247
0.684931506849315,0.7123287671232876,0.7123287671232876,0.726027397260274,0.6986301369863014,0.706849315068493
0.7945205479452054,0.7945205479452054,0.7671232876712328,0.7534246575342466,0.7671232876712328,0.7753424657534246
0.8356164383561644,0.8082191780821918,0.7945205479452054,0.821917808219178,0.821917808219178,0.8164383561643834
0.5753424657534246,0.6164383561643836,0.5753424657534246,0.684931506849315,0.6164383561643836,0.6136986301369862
0.7671232876712328,0.7534246575342466,0.7945205479452054,0.8082191780821918,0.8082191780821918,0.7863013698630137
