,orig,jitter_aug,scaling_aug,window_slice_aug,window_warp_aug,time_warp_aug,rotation_aug,magnitude_warp_aug,spawner_aug,wdba_aug
SonyAIBORobotSurface1,0.9795341089999999,0.9866888519134775,0.9683860232945092,0.9317803660565722,0.951747088186356,0.8282861896838603,0.9740432612312812,0.978036605657238,0.6841930116472545,0.950415973377704
MiddlePhalanxOutlineAgeGroup,0.536363637,0.5493506493506494,0.5207792207792208,0.3961038961038962,0.4714285714285713,0.6233766233766234,0.5311688311688311,0.5051948051948052,0.4766233766233766,0.5987012987012987
MiddlePhalanxTW,0.519480519,0.5311688311688312,0.5207792207792208,0.4220779220779221,0.4922077922077922,0.5116883116883117,0.5324675324675325,0.5220779220779221,0.461038961038961,0.4766233766233766
Meat,0.946666668,0.4566666666666666,0.9233333333333336,0.71,0.9133333333333334,0.61,0.8300000000000001,0.9066666666666668,0.8233333333333335,0.91
ToeSegmentation2,0.946153846,0.963076923076923,0.963076923076923,0.9430769230769228,0.9415384615384615,0.9384615384615383,0.866153846153846,0.9353846153846156,0.7753846153846153,0.9646153846153844
GesturePebbleZ2,0.899367089,0.9075949367088608,0.8835443037974684,0.8746835443037974,0.9012658227848102,0.8481012658227847,0.8822784810126582,0.8354430379746836,0.7784810126582278,0.8670886075949367
GesturePebbleZ1,0.9203488369999999,0.9244186046511628,0.9244186046511628,0.9313953488372092,0.9476744186046512,0.8302325581395349,0.9174418604651162,0.9383720930232556,0.9116279069767442,0.9104651162790696
GestureMidAirD2,0.632307693,0.6230769230769231,0.62,0.5415384615384615,0.5969230769230769,0.4753846153846154,0.5553846153846154,0.5215384615384615,0.4369230769230768,0.4615384615384615
SonyAIBORobotSurface2,0.953830011,0.9634837355718784,0.9620146904512068,0.8677859391395593,0.9481636935991606,0.7643231899265477,0.943966421825813,0.9785939139559284,0.9194123819517314,0.8929695697796433
GestureMidAirD1,0.73,0.7338461538461539,0.7307692307692308,0.6599999999999999,0.6846153846153846,0.5800000000000001,0.5738461538461538,0.7153846153846154,0.5846153846153845,0.5138461538461538
GestureMidAirD3,0.41692307700000003,0.4276923076923077,0.4276923076923077,0.3846153846153846,0.4061538461538461,0.3230769230769231,0.3446153846153846,0.3723076923076923,0.2676923076923077,0.2338461538461539
Car,0.93333333,0.9333333333333332,0.9233333333333332,0.8899999999999999,0.9033333333333332,0.71,0.8299999999999998,0.7966666666666666,0.6066666666666667,0.7466666666666667
ToeSegmentation1,0.953947369,0.9526315789473684,0.9403508771929824,0.9280701754385964,0.9605263157894736,0.7991228070175438,0.9298245614035088,0.9526315789473684,0.9289473684210524,0.8745614035087719
ShapeletSim,0.7994444439999999,0.8522222222222222,0.9533333333333334,0.6822222222222222,0.701111111111111,0.5455555555555556,0.8388888888888889,0.8122222222222222,0.6855555555555556,0.6900000000000001
DiatomSizeReduction,0.977124184,0.9594771241830063,0.961437908496732,0.9202614379084968,0.8522875816993464,0.288235294117647,0.9653594771241828,0.8562091503267973,0.657516339869281,0.7745098039215685
MoteStrain,0.926357828,0.9274760383386582,0.9201277955271564,0.919488817891374,0.923003194888179,0.9384984025559108,0.9156549520766774,0.9220447284345048,0.9130990415335464,0.9222044728434506
HouseTwenty,0.9487394960000001,0.9697478991596638,0.9563025210084032,0.9596638655462184,0.9647058823529412,0.9529411764705882,0.9747899159663866,0.9630252100840336,0.9579831932773109,0.9647058823529412
InsectEPGSmallTrain,0.444176707,0.1293172690763052,0.1349397590361445,0.2136546184738955,0.3429718875502008,0.1943775100401606,0.3895582329317269,0.2883534136546185,0.1959839357429718,0.285140562248996
MedicalImages,0.769473683,0.766842105263158,0.7736842105263158,0.7231578947368421,0.7786842105263159,0.7721052631578947,0.7655263157894737,0.7721052631578947,0.7676315789473683,0.7744736842105262
Rock,0.55,0.6,0.6,0.6199999999999999,0.5640000000000001,0.7280000000000001,0.5,0.5800000000000001,0.612,0.64
Adiac,0.834526856,0.8296675191815857,0.8450127877237852,0.8322250639386188,0.8342710997442456,0.8230179028132992,0.8409207161125319,0.8393861892583121,0.8378516624040921,0.8322250639386188
InsectEPGRegularTrain,0.951004016,1.0,0.9983935742971888,1.0,1.0,1.0,0.970281124497992,1.0,1.0,1.0
SwedishLeaf,0.9712000000000001,0.9712,0.96992,0.97408,0.96608,0.96928,0.97536,0.97152,0.97024,0.97248
Fish,0.9874285709999999,0.9805714285714286,0.9805714285714286,0.9851428571428572,0.9828571428571428,0.9817142857142857,0.9874285714285712,0.9851428571428572,0.9805714285714286,0.9805714285714286
